美国:道琼斯工业平均指数,美国:标准普尔500指数,美国:纳斯达克综合指数
25985.16,2792.38,7554.51
25916.00,2784.49,7532.53
26026.32,2803.69,7595.35
25819.65,2792.81,7577.57
25806.63,2789.65,7576.36
25673.46,2771.45,7505.92
25473.23,2748.93,7421.46
25450.24,2743.07,7408.14
25650.88,2783.30,7558.06
25554.66,2791.52,7591.03
25702.89,2810.92,7643.41
25709.94,2808.48,7630.91
25848.87,2822.48,7688.53
25914.10,2832.94,7714.48
25887.38,2832.57,7723.95
25745.67,2824.23,7728.97
25962.51,2854.88,7838.96
25502.32,2800.71,7642.67
25516.83,2798.36,7637.54
25657.73,2818.46,7691.52
25625.59,2805.37,7643.38
25717.46,2815.44,7669.17
25928.68,2834.40,7729.32
26258.42,2867.19,7828.91
26179.13,2867.24,7848.69
26218.13,2873.40,7895.55
26384.63,2879.39,7891.78
26424.99,2892.74,7938.69
26341.02,2895.77,7953.88
26150.58,2878.20,7909.28
26157.16,2888.21,7964.24
26143.05,2888.32,7947.36
26412.30,2907.41,7984.16
26384.77,2905.58,7976.01
26452.66,2907.06,8000.23
26449.54,2900.45,7996.08
26559.54,2905.03,7998.06
26511.05,2907.97,8015.27
26656.39,2933.68,8120.82
26597.05,2927.25,8102.02
26462.08,2926.17,8118.68
26543.33,2939.88,8146.40
26554.39,2943.03,8161.85
26592.91,2945.83,8095.39
26430.14,2923.73,8049.64
26307.79,2917.52,8036.77
26504.95,2945.64,8164.00
26438.48,2932.47,8123.29
25965.09,2884.05,7963.76
25967.33,2879.42,7943.32
25828.36,2870.72,7910.59
25942.37,2881.40,7916.94
25324.99,2811.87,7647.02
25532.05,2834.41,7734.49
25648.02,2850.96,7822.15
25862.68,2876.32,7898.05
25764.00,2859.53,7816.29
25679.90,2840.23,7702.38
25877.33,2864.36,7785.72
25776.61,2856.27,7750.84
25490.47,2822.24,7628.28
25585.69,2826.06,7637.01
25347.77,2802.39,7607.35
25126.41,2783.02,7547.31
25169.88,2788.86,7567.72
24815.04,2752.06,7453.15
24819.78,2744.45,7333.02
25332.18,2803.27,7527.12
25539.57,2826.15,7575.48
25720.66,2843.49,7615.55
25983.94,2873.34,7742.10
26062.68,2886.73,7823.17
26048.51,2885.72,7822.57
26004.83,2879.84,7792.72
26106.77,2891.64,7837.13
26089.61,2886.98,7796.66
26112.53,2889.67,7845.02
26465.54,2917.75,7953.88
26504.00,2926.46,7987.32
26753.17,2954.18,8051.34
26719.13,2950.46,8031.71
26727.54,2945.35,8005.70
26548.22,2917.38,7884.72
26536.82,2913.78,7909.97
26526.58,2924.92,7967.76
26599.96,2941.76,8006.24
26717.43,2964.33,8091.16
26786.68,2973.01,8109.09
26966.00,2995.82,8170.23
26922.12,2990.41,8161.79
26806.14,2975.95,8098.38
26783.49,2979.63,8141.73
26860.20,2993.07,8202.53
27088.08,2999.91,8196.04
27332.03,3013.77,8244.14
27359.16,3014.30,8258.19
27335.63,3004.04,8222.80
27219.85,2984.42,8185.21
27222.97,2995.11,8207.24
27154.20,2976.61,8146.49
27171.90,2985.03,8204.14
27349.19,3005.47,8251.40
27269.97,3019.56,8321.50
27140.98,3003.67,8238.54
27192.45,3025.86,8330.21
27221.35,3020.97,8293.33
